Id,Name,Type,Status,StartDate,EndDate,BudgetedCost,ActualCost,ExpectedRevenue,ExpectedResponse,NumberSent,NumberOfResponses,NumberOfLeads,NumberOfConvertedLeads,NumberOfOpportunities,IsActive,Description,OwnerId,CreatedDate,IsDeleted
70101000,Q3 2025 - Awareness,Conference,Completed,2025-08-16,2025-09-08,28785.01,22393.76,194125.43,7.03,27428,1526,593,161,132,False,Business cut address group worker citizen director. Strong himself something treatment.,0050001,2025-07-17 17:21:14,False
70101001,Q1 2025 - Awareness,Trade Show,Planned,2024-02-15,2024-03-19,115981.98,0.0,938058.41,6.91,0,0,0,0,0,True,Group community ball who out plant. Model important true red they family international. Walk service machine avoid child happen.,0050019,2024-01-16 17:21:14,False
70101002,Q1 2024 - Lead Gen,Direct Mail,Aborted,2023-11-27,2023-12-24,176494.19,0.0,1218597.41,11.12,0,0,0,0,0,False,Spend short center skill fly learn high. Leave would toward minute card here. One while option amount management all dark wait.,0050010,2023-10-28 17:21:14,False
70101003,Q4 2024 - Awareness,Direct Mail,Completed,2025-06-28,2025-09-14,169784.5,179434.39,1115430.1,6.37,14517,1421,670,68,47,False,"Feeling plant owner animal boy board. Perhaps its necessary guy politics bank.
Across issue grow Democrat cup bad PM imagine. Agreement walk product cold culture matter. Police meet he feel.",0050005,2025-05-29 17:21:14,False
70101004,Q1 2025 - Product Launch,Webinar,Aborted,2025-01-06,2025-01-17,84634.04,0.0,393888.0,3.37,0,0,0,0,0,False,"Present know purpose term line indicate. Government financial city coach. Fine type red remain federal half.
Than raise one range role glass loss show. Become sort nice interview glass.",0050007,2024-12-07 17:21:14,False
70101005,Q4 2024 - Product Launch,Direct Mail,Completed,2025-07-01,2025-07-23,88211.53,69931.69,454782.38,7.85,39308,1446,963,266,182,False,Court season war pull treat evening computer. Company son at answer chair. Hit music type fish take. Respond move any environmental design amount citizen.,0050005,2025-06-01 17:21:14,False
70101006,Q3 2024 - Lead Gen,Conference,Completed,2024-04-25,2024-06-09,153105.43,172981.59,1270292.89,13.31,36848,5160,2623,795,518,False,"Three during only degree career training. Dark population wait very. Three character behind.
Despite space next able. Place whole serve still. Decide various Mr pull choose piece.",0050014,2024-03-26 17:21:14,False
70101007,Q3 2024 - Product Launch,Content Marketing,Completed,2024-09-18,2024-12-03,191227.63,214299.54,1470137.62,12.94,3559,219,78,30,20,False,"Fly affect same.
Development smile artist side year reason other seven. Program many live.",0050012,2024-08-19 17:21:14,False
70101008,Q1 2024 - Product Launch,Conference,Completed,2025-04-03,2025-06-03,18417.0,22026.63,183275.05,3.41,34194,4802,2097,617,487,False,"Energy bed movement word. Citizen sister enough environmental meet above. Long red protect.
Position source campaign. Win peace develop. Likely recently challenge shoulder pretty.",0050009,2025-03-04 17:21:14,False
70101009,Q1 2025 - Customer Retention,Trade Show,Completed,2023-11-22,2023-11-29,198452.34,147692.81,1136781.03,8.71,26202,1531,789,214,129,False,That notice security probably rate other. Edge final information network.,0050003,2023-10-23 17:21:14,False
